"Team Chocolate Milk Performance Lite Long Sleeve Run Top",http://champ-sys.com/team-chocolate-milk-performance-lite-long-sleeve-run-top.html,team-chocolate-milk-performance-lite-long-sleeve-run-top,"<p>Train Harder! A short sleeve running top that is perfect for training and competition. The Champion System Performance Lite Short Sleeve Run Top is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive&#xA0;<a href='http://www.champ-sys.com/fabrics' target='_blank'><b>Tech Lite fabric</b></a>&#xA0;, the run top is lightweight, soft and breathable. Moisture management built into the fabric helps to keep you cool and dry while the action heats up. Permanent UV Protection.</p><br><ul><li>Made from Tech Lite fabric</li><li>Permanent UV protection</li></ul>","",$42.40
"SSE - 2&quot; Knitted Socks (3-pack)",http://champ-sys.com/sse-2-knitted-socks-3-pack.html,sse-2-knitted-socks-3-pack,"","Please allow 3-4 weeks for delivery upon the date of purchase",$24.00
"SSE  - Technical Performance Long Sleeve Top - Gray",http://champ-sys.com/sse-technical-perofrmance-long-sleeve-top-gray.html,sse-technical-perofrmance-long-sleeve-top-gray,"<p>Made from a technical polyester wicking fabric the tech top is perfect to slip on after a race or for every day use.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$52.70
"Team Chocolate Milk Performance Link Tri Suit",http://champ-sys.com/team-chocolate-milk-performance-link-tri-suit.html,team-chocolate-milk-performance-link-tri-suit,"<p>The suit is features our CS Hydrodry fabric and features a hidden front zipper and our exclusive Italian SCT (Seamless Comfort Technology) tri specific pad. Available in men&#x2019;s and women&#x2019;s fit.</p><br> <p><strong>Features:</strong></p> <ul>     <li>CS Hydrodry pre-dyed fabric: dry feel, water repellent stretch fabric designed specifically for Champion System</li>     <li>Dual layer rear panel</li>     <li>Hidden front zipper</li>     <li>Rear pockets</li>    <li><a href='http://champ-sys.com/chamois-chart' target='_blank'>Learn more</a> about our Chamois</li> </ul>","",$146.60
"SSE - Long Length Running Shorts",http://champ-sys.com/sse-long-length-running-shorts.html,sse-long-length-running-shorts,"","Please allow 3-4 weeks for delivery upon the date of purchase",$48.10
"Women&apos;s Sport Run Singlet",http://champ-sys.com/women-s-sport-run-singlet-67629.html,women-s-sport-run-singlet-67629,"<p>A cut above the rest! A classic sleeveless design that is perfect for training and competition. The Champion System Sport Run Singlet is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive <b>Tech Lite fabric</b>, the run singlet is lightweight, soft, and breathable. Moisture management built into the fabric helps to keep you cool and dry while the action heats up. Permanent UV Protection.</p><ul><li>Made from Tech Lite Fabric</li><li>Permanent UV protection</li></ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$35.00
"RRCA - Women Specific Performance Run Top",http://champ-sys.com/rrca-women-specific-performance-run-top.html,rrca-women-specific-performance-run-top,"","Please allow 3-4 weeks for delivery upon the date of purchase",$48.00
"SSE  - Technical Performance Short Sleeve Top - Gray",http://champ-sys.com/sse-technical-perofrmance-short-sleeve-top-gray.html,sse-technical-perofrmance-short-sleeve-top-gray,"<p>Made from a technical polyester wicking fabric the tech top is perfect to slip on after a race or for every day use.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$43.60
"Team Chocolate Milk Performance Blade Tri Suit",http://champ-sys.com/team-chocolate-milk-performance-blade-tri-suit.html,team-chocolate-milk-performance-blade-tri-suit,"<p>For those triathletes who compete in ITU events we have designed a tri suit just for you. Our Performance Link tri suit meets all current ITU regulations. The suit is features our CS Hydrodry fabric and features a rear zipper for easy access and our exclusive Italian SCT (Seamless Comfort Technology) tri   specific pad. Available in men&#x2019;s and women&#x2019;s fits.</p> <p><strong>Features</strong>:</p> <ul>     <li>CS Hydrodry pre-dyed fabric: dry feel, water repellent stretch fabric designed specifically for Champion System.</li>     <li>Flatlock Stitching</li>     <li>Dual layer rear panel</li>     <li>Hidden rear zipper</li>     <li>Rear pockets</li>       <li><a href='http://champ-sys.com/chamois-chart' target='_blank'>Learn more</a> about our Chamois</li> </ul>","",$146.60
"RRCA - Men&apos;s Apex Run Singlet",http://champ-sys.com/rrca-men-s-apex-run-singlet.html,rrca-men-s-apex-run-singlet,"","Please allow 3-4 weeks for delivery upon the date of purchase",$55.00
"SSE - Tech Casual Pants",http://champ-sys.com/sse-tech-casual-pants.html,sse-tech-casual-pants,"<p>This premium garment is made from a breathable polyester fabric.&#xA0; It&apos;s great for before and after races or to just wear around town.&#xA0;Available in both men&apos;s and women&apos;s cuts.</p> <p>&#xA0;</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$77.90
"RRCA - Men&apos;s Performance Run Singlet",http://champ-sys.com/rrca-men-s-performance-run-singlet.html,rrca-men-s-performance-run-singlet,"","Please allow 3-4 weeks for delivery upon the date of purchase",$42.00
"Team Chocolate Milk WOMEN&apos;s Performance Lite Run Singlet",http://champ-sys.com/team-chocolate-milk-women-s-performance-lite-run-singlet.html,team-chocolate-milk-women-s-performance-lite-run-singlet,"<p>A cut above the rest! A classic sleeveless design that is perfect for training and competition. The Champion System Performance Lite Run Singlet is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive&#xA0;<a href='http://www.champ-sys.com/fabrics' target='_blank'><b>Tech Lite fabric</b></a>&#xA0;, the run singlet is lightweight, soft and breathable. Moisture management built into the fabric helps to keep you cool and dry while the action heats up. Permanent UV Protection.</p><br><ul><li>Made from Tech Lite Fabric</li><li>Permanent UV protection</li><li>Great for clubs, events, corporate teams and more</li></ul>","",$30.00
"Team Chocolate Milk Performance Link Tri Top",http://champ-sys.com/team-chocolate-milk.html,team-chocolate-milk,"<p>The Performance Link tri top is based on our classic design which has been worn to victories in tri events around the world and offers a superb fit and classic styling. Available in men&apos;s and women&apos;s fits.</p>","",$52.70
"SSE  - Running Shorts",http://champ-sys.com/sse-running-shorts.html,sse-running-shorts,"<p>Classic loose-fitting running short design.&#xA0;Features a privacy liner, key pocket, and drawstring waist. Available in both men&apos;s and women&apos;s fits.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$39.00
"Sport Short Sleeve Run Top",http://champ-sys.com/sport-short-sleeve-run-top-67620.html,sport-short-sleeve-run-top-67620,"<p>Train Harder! A short sleeve running top that is perfect for training and competition. The Champion System Sport Short Sleeve Run Top is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive&#xA0;<a href='http://www.champ-sys.com/fabrics' target='_blank'><b>Tech Lite fabric,</b></a> the run top is lightweight, soft, and breathable. Moisture management built into the fabric helps to keep you cool and dry while the action heats up. Permanent UV Protection.</p><br><p><b>Colors</b></p><ul><li>Men&apos;s - Grey</li><li>Women&apos;s - Yellow</li></ul><br><ul><li>Made from Tech Lite fabric</li><li>Permanent UV protection</li></ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$40.00
"RRCA - Men&apos;s Apex Run Top",http://champ-sys.com/rrca-men-s-apex-run-top.html,rrca-men-s-apex-run-top,"","Please allow 3-4 weeks for delivery upon the date of purchase",$55.00
"RRCA - Men&apos;s Performance Short Sleeve Run Top",http://champ-sys.com/rrca-men-s-performance-short-sleeve-run-top.html,rrca-men-s-performance-short-sleeve-run-top,"","Please allow 3-4 weeks for delivery upon the date of purchase",$48.00
"Team Chocolate Milk Performance Blade Tri Top",http://champ-sys.com/team-chocolate-milk-performance-blade-tri-top.html,team-chocolate-milk-performance-blade-tri-top,"<p><strong>Features</strong>:</p><ul> <li>Flatlock stitching</li>    <li>Covered rear pockets</li>     <li>Wider shoulders</li>     </ul>","",$64.20
"Sport Long Sleeve Run Top",http://champ-sys.com/sport-long-sleeve-run-top-67621.html,sport-long-sleeve-run-top-67621,"<p>Train Harder! A long sleeve running top that is perfect for training and competition. The Champion System Sport Long Sleeve Run Top is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive&#xA0;<a href='http://www.champ-sys.com/fabrics' target='_blank'><b>Tech Lite fabric</b></a>, the run top is lightweight, soft, and breathable. Moisture management built into the fabric helps keep you cool and dry while the action heats up. Permanent UV Protection.</p><br><ul><li>Made from Tech Lite fabric</li><li>Permanent UV protection</li><li>Available in Men&#x2019;s and Women&#x2019;s fits</li></ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$45.00
"Men&apos;s Sport Run Singlet - GUIDE",http://champ-sys.com/men-s-sport-run-singlet-guide.html,men-s-sport-run-singlet-guide,"","",$35.00
"Tech Windguard Casual Pants",http://champ-sys.com/tech-windguard-casual-pants.html,tech-windguard-casual-pants,"<p>A Champion System exclusive! We&apos;ve been making custom jogging suits for our sponsored athletes and now they are available for every team and club. This high-quality garment is made from a breathable polyester fabric. The best part is that it can be fully sublimated. Great for before and after races or to just wear around town. Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s fits.</p>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$75.00
"Men&apos;s Sport Run Singlet",http://champ-sys.com/men-s-sport-run-singlet.html,men-s-sport-run-singlet,"<p>A cut above the rest! A classic sleeveless design that is perfect for training and competition. The Champion System Sport Run Singlet is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive&#xA0;<a href='http://www.champ-sys.com/fabrics' target='_blank'><b>Tech Lite fabric</b></a>, the run singlet is lightweight, soft, and breathable. Moisture management built into the fabric helps to keep you cool and dry while the action heats up. Permanent UV Protection.</p><br><ul><li>Made from Tech Lite Fabric</li><li>Permanent UV protection</li></ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$35.00
"Team Chocolate Milk Performance Link Tri Shorts",http://champ-sys.com/team-chocolate-milk-performance-link-tri-shorts.html,team-chocolate-milk-performance-link-tri-shorts,"<p>Featuring contoured, body-forming panels and our exclusive Italian SCT tri specific pad, the CS Performance Link Short has been worn by  thousands of triathletes around the world, from age-groupers to  Olympians. Available in men&#x2019;s and women&#x2019;s fits.</p> <p><strong>Features</strong>:</p> <ul>     <li>CS Hydrodry pre-dyed fabric: dry feel, water repellent stretch fabric designed specifically for Champion System. Available in our pre-dyed colors.</li>     <li>Dual layer rear panel</li>     <li><a href='http://champ-sys.com/chamois-chart' target='_blank'>Learn more</a> about our Tri Specific Chamois Pad</li> </ul> <p><b>Tri Specific Chamois Pad Features:</b></p><ul><li>For Run and Cycle use</li><li>Multi-position design with strategically placed pad density</li><li>Highly breathable</li><li>Anti-microbial</li><li>4-way Stretch</li><li>Quick dry</li></ul>","",$55.00
"RRCA - TechFleece Headband",http://champ-sys.com/rrca-techfleece-headband.html,rrca-techfleece-headband,"","Please allow 3-4 weeks for delivery upon the date of purchase",$25.00
"RRCA - Women Specific Apex Run Top",http://champ-sys.com/rrca-women-specific-apex-run-top.html,rrca-women-specific-apex-run-top,"","Please allow 3-4 weeks for delivery upon the date of purchase",$55.00
"Team Chocolate Milk Performance Lite Short Sleeve Top",http://champ-sys.com/team-chocolate-milk-performance-lite-short-sleeve-top.html,team-chocolate-milk-performance-lite-short-sleeve-top,"<p>Train Harder! A short sleeve running top that is perfect for training and competition. The Champion System Performance Lite Short Sleeve Run Top is designed to maximize your workout by keeping you dry and comfortable. Made from our exclusive&#xA0;<a href='http://www.champ-sys.com/fabrics' target='_blank'><b>Tech Lite fabric</b></a>&#xA0;, the run top is lightweight, soft and breathable. Moisture management built into the fabric helps to keep you cool and dry while the action heats up. Permanent UV Protection.</p><br><ul><li>Made from Tech Lite fabric</li><li>Permanent UV protection</li></ul>","",$34.40
"RRCA - Visor",http://champ-sys.com/rrca-visor.html,rrca-visor,"","Please allow 3-4 weeks for delivery upon the date of purchase",$28.00
"Tech Casual Jacket",http://champ-sys.com/tech-casual-jacket-67623.html,tech-casual-jacket-67623,"<p>A Champion System exclusive! This high-quality garment is made from a breathable polyester fabric and features a mesh liner, high collar, a full-length concealed zipper, and two zippered front slash pockets. Great for before and after races or to just wear around town. Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s fits.</p>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$98.00
"Team Chocolate Milk Race Running Shorts",http://champ-sys.com/team-chocolate-milk-race-running-shorts.html,team-chocolate-milk-race-running-shorts,"<p>Classic running short design featuring full split sides.&#xA0;Features a privacy liner, key pocket, and drawstring waist. Available in both men&apos;s and women&apos;s fits.</p>","",$39.00
"RRCA - Apex Windguard Run Jacket",http://champ-sys.com/rrca-apex-windguard-run-jacket.html,rrca-apex-windguard-run-jacket,"","Please allow 3-4 weeks for delivery upon the date of purchase",$75.00
"Team Chocolate Milk Women&apos;s Bella Run Capri",http://champ-sys.com/team-chocolate-milk-women-s-bella-run-capri.html,team-chocolate-milk-women-s-bella-run-capri,"<p>Part of our exclusive Woman&#x2019;s specific collection -- Donna Forte. Our Donna Forte&#xA0; &#xBE; length Bella Run Capri is perfect for all activities, featuring an Italian made pre dyed black lycra offering premium comfort and fit. A true all purpose garment.</p><p>Bella items have a more feminine cut than our standard women&#x2019;s apparel and size just slightly smaller. If you find yourself in between sizes, we recommend that you size up for your Bella apparel.</p><br><ul> <li>Elasticized 2 inch waistband with drawstring for optimal comfort</li> <li>Large zippered rear pocket for secure storage</li> <li>Features a mix of double needle cover stitch and exposed flatlock stitching to provide the best in comfort and premium look and feel</li> <li>Reflective piping in bottom of legs for enhanced visibility and safety</li> </ul>","",$77.90
"Apex Windguard Run Jacket",http://champ-sys.com/apex-windguard-run-jacket-67617.html,apex-windguard-run-jacket-67617,"<p><b>Features:</b></p><ul><li>Constructed of CS WindGuard. Lightweight, water-resistant and breathable to help keep your temperature regulated</li><li>Draw cord that makes fine-tuning the fit easy</li><li>Reflective details help with low light visibility</li><li>Offset zipper with zipper garage to help keep your chin from getting chafed</li><li>Secure front zipper pockets, one with media pouch and a cord exit for your headphones, the other has an interior credit card-size Velcro pocket for convenience</li><li>Elastic cuffs</li><li>Mesh venting in the back and the under arms to reduce over-heating</li></ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$75.00
"Performance Blade Tri Short",http://champ-sys.com/performance-blade-tri-short-67627.html,performance-blade-tri-short-67627,"<p>The Performance Blade Tri Short features side pockets designed to store energy bars or gels. The short uses our tri short design with flatlock stitching, our exclusive  Italian SCT (Seamless Comfort Technology) tri specific pad and an  elastic waist. Available in men&apos;s and women&apos;s specific fits.</p><br> <p><strong>Features:</strong></p>      <ul>     <li>Flatlock stitching</li><li>CS Hydrodry pre-dyed fabric: dry feel, water repellent stretch fabric designed specifically for Champion System.</li>     <li>Covered side pockets</li>     <li>Dual layer rear panel</li>    <p></p> 		</ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$65.00
"Team Chocolate Milk Performance Blade Tri Shorts",http://champ-sys.com/team-chocolate-milk-performance-blade-tri-shorts.html,team-chocolate-milk-performance-blade-tri-shorts,"<p>The Performance Blade Tri Short features side pockets designed to store energy bars or gels. The short uses our tri short design with flatlock stitching, our exclusive  Italian SCT (Seamless Comfort Technology) tri specific pad and an  elastic waist. Available in men&apos;s and women&apos;s specific cuts.</p><br> ]<p><strong>Features:</strong></p>      <ul>     <li>Flatlock stitching</li><li>CS Hydrodry pre-dyed fabric: dry feel, water repellent stretch fabric designed specifically for Champion System. Available in our pre-dyed colors.</li>     <li>Covered side pockets</li>    <li>Dual layer rear panel</li>     <li><a href='http://champ-sys.com/chamois-chart' target='_blank'>Learn more</a> about our Tri Specific Chamois</li> </ul> <p><b>Tri Specific Chamois Pad Features:</b></p><ul><li>For Run and Cycle use</li><li>Multi-position design with strategically placed pad density</li><li>Highly breathable</li><li>Anti-microbial</li><li>4-way Stretch</li><li>Quick dry</li></ul>","",$59.60
"Women&apos;s Apex V-Neck Run Top",http://champ-sys.com/women-s-apex-v-neck-run-top.html,women-s-apex-v-neck-run-top,"<p><b>Features:</b></p><ul><li>Constructed of AirLite Fabric</li><li>100% permanent UV protection yarn to reach UPF50+</li><li>No annoying label tags at the neck</li></ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$50.00
"Women&apos;s Sport Run Singlet - GUIDE",http://champ-sys.com/achilles-women-s-sport-run-singlet-guide.html,achilles-women-s-sport-run-singlet-guide,"","",$35.00
"Sport Run Shirt - GUIDE",http://champ-sys.com/sport-run-shirt-guide.html,sport-run-shirt-guide,"","",$40.00
"SSE  - Technical Performance Long Sleeve Top - White",http://champ-sys.com/sse-technical-perofrmance-long-sleeve-top-white.html,sse-technical-perofrmance-long-sleeve-top-white,"<p>Made from a technical polyester wicking fabric the tech top is perfect to slip on after a race or for every day use.</p>","Please allow 3-4 weeks for delivery upon the date of purchase",$52.70
"RRCA - Knitted Socks (3-pack)",http://champ-sys.com/rrca-knitted-socks-3-pack.html,rrca-knitted-socks-3-pack,"","Please allow 3-4 weeks for delivery upon the date of purchase",$28.00
"RRCA - Performance Long Sleeve Run Top",http://champ-sys.com/rrca-performance-long-sleeve-run-top.html,rrca-performance-long-sleeve-run-top,"","Please allow 3-4 weeks for delivery upon the date of purchase",$58.00
"Performance Blade Tri Top",http://champ-sys.com/performance-blade-tri-top-67628.html,performance-blade-tri-top-67628,"<p><strong>Features</strong>:</p> <ul> <li>Fully customizable</li>    <li>Flatlock stitching</li>     <li>Covered rear pockets</li>     <li>Wider shoulders</li>     <li>Available in men&apos;s and women&apos;s fits</li> </ul><p></p>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$70.00
"Team Chocolate Milk Women&apos;s Performance Sports Bra",http://champ-sys.com/team-chocolate-milk-women-s-performance-sports-bra.html,team-chocolate-milk-women-s-performance-sports-bra,"<p>Our Performance Sports Bra is made from CS Contour Lycra and is designed to be the ultimate multipurpose piece for women who demand a technical high-support bra. The best part?&#xA0; It can be fully customized with virtually any design using our digital sublimation printing process.</p>","",$41.30
"Hoodie Sweatshirt",http://champ-sys.com/hoodie-sweatshirt-67622.html,hoodie-sweatshirt-67622,"<p>Introducing the CS Hoodie Sweatshirt. Made from a warm, heavy cotton/poly blend material and with a full zip, these hoodies feel comfy and look great for all occasions.</p>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$70.00
"RRCA - Women Specific Performance Run Singlet",http://champ-sys.com/rrca-women-specific-performance-run-singlet.html,rrca-women-specific-performance-run-singlet,"","Please allow 3-4 weeks for delivery upon the date of purchase",$42.00
"Men&apos;s Apex Crew Neck Run Top",http://champ-sys.com/men-s-apex-crew-neck-run-top.html,men-s-apex-crew-neck-run-top,"<p><b>Features:</b></p><ul><li>Constructed of AirLite Fabric</li><li>100% permanent UV protection yarn to reach UPF50+</li><li>No annoying label tags at the neck</li></ul>","<p><b><em>Please allow 3-4 weeks for delivery upon the date of purchase</em></b></p>",$50.00
"Team Chocolate Milk Women&apos;s Bella Run Shorts",http://champ-sys.com/team-chocolate-milk-women-s-bella-run-shorts.html,team-chocolate-milk-women-s-bella-run-shorts,"<p>Part of our exclusive Woman&#x2019;s specific collection &#x2013; Donna Forte. The Bella Run Short is designed specifically for females who run, race, or train.</p> <ul> <li>Elasticised 2.5 inch waistband with drawstring for optimal comfort &#x2013; waistband cannot be printed and will come in black only</li> <li>CS Windguard fabric , body of shorts are full custom</li><li>Standard or Short length options available</li> <li>Split sides for increased range of movement</li> <li>Woman&#x2019;s specific cut</li> <li>Small open key/coin pocket in front of waistband</li><li>Larger zippered pocket in rear of waistband for key/ipod storage</li> <li>Fully lined inside</li> </ul><br><p>Bella items have a more feminine cut than our standard women&#x2019;s apparel and size just slightly smaller. If you find yourself in between sizes, we recommend that you size up for your Bella apparel.</p>","",$55.00
"RRCA - Sports Bra",http://champ-sys.com/rrca-sports-bra.html,rrca-sports-bra,"","Please allow 3-4 weeks for delivery upon the date of purchase",$46.00
"RRCA - Tech Fleece Gloves",http://champ-sys.com/rrca-tech-fleece-gloves.html,rrca-tech-fleece-gloves,"","Please allow 3-4 weeks for delivery upon the date of purchase",$38.00
"Team Chocolate Milk Apex WindGuard run Jacket",http://champ-sys.com/team-chocolate-milk-apex-windguard-run-jacket.html,team-chocolate-milk-apex-windguard-run-jacket,"<p>When Summer runs into Fall and Fall runs into Winter this lightweight water-resistant jacket this will be your go to run jacket that can do it all.</p><br><p><b>Features:</b></p><ul><li>Constructed of CS WindGuard. Lightweight, water-resistant and breathable to help keep your temperature regulated</li><li>Draw cord that makes fine-tuning the fit easy</li><li>Reflective details help with low light visibility</li><li>Offset zipper with zipper garage to help keep your chin from getting chafed</li><li>Secure front zipper pockets, one with media pouch and a cord exit for your headphones, the other has an interior credit card-size Velcro pocket for convenience</li><li>Elastic cuffs</li><li>Mesh venting in the back and the under arms to reduce over-heating</li></ul>","",$66.50
"Team Chocolate Milk Windguard Wind Vest",http://champ-sys.com/team-chocolate-milk-windguard-wind-vest.html,team-chocolate-milk-windguard-wind-vest,"<p>Traditionally our CS Wind Guard Wind Vest has featured a &#x2018;false&#x2019; pocket in the rear. Feedback from a number of teams and riders globally stated that this was rarely if ever used and when it was the zipper made it difficult to operate. As a result we have removed the false pocket from this wind vest. <em><strong>In addition a standard reflective strip has been added for increased visibility and safety.</strong></em></p>","",$59.50
"Team Chocolate Milk Windguard Jacket",http://champ-sys.com/team-chocolate-milk-windguard-jacket.html,team-chocolate-milk-windguard-jacket,"<p><strong>Features:</strong></p> <ul>    <li>Made from our exclusive <a href='http://champ-sys.com/fabrics'>CS WindGuard fabric</a></li>     <li>Unlimited number of colors</li>     <li>Full concealed zipper</li>     <li>High collar</li>     <li>Single rear zippered pocket</li>     <li>Zippered arm pits for increased ventilation</li>     <li>Separate side panels</li>     <li>Dual YKK zipper</li> </ul>","",$66.50
"Apex - Champion System Tri Top",http://champ-sys.com/apex-champion-system-tri-top.html,apex-champion-system-tri-top,"","<p><span style='font-size: medium;'><strong>Available for Men and Women</strong></span></p><br><p><b><em>**Please allow 3-4 weeks for delivery upon the date of purchase**</em></b></p><br><p>A premium garment for triathletes who want&#xA0;<strong>more coverage</strong>&#xA0;on their upper body. Cut in a sleeveless design, contoured rear panels with exposed flatlock stitching provide premium fit and comfort, while covered rear pockets allow for easy access to your nutrition.&#xA0;<strong>Great for long distance triathletes</strong><b>. </b>Constructed entirely from our exclusive quick drying, CS Hydrodry fabric for greater fit, comfort, and increased compression.</p><br><ul><br><li>Made entirely from CS Hydrodry &#x2013; a dry feel, water repellent, quick drying stretch fabric engineered specifically for Champion System</li><br><li>Contoured back paneling</li><br><li>Flatlock stitching</li><br><li>Concealed mid-length front zipper with protective inner flap</li><br><li>Two covered rear pockets to place your nutritional needs &#x2013; the covers help to reduce drag in the water and keep their contents safely in place</li><br></ul><br><p>&#xA0;</p>",$90.00
